"Bore","Latitude","Longitude","Total_Dept","Elevation","Aspect","Curvature","Drainage_density","Distance_from_stream","Lithology","Plan_curvature","Profile_curvature","Slope_degree","Sy","TRI","SPI1","STI1","TWI1","response6","response4"
2945,22.9295,89.01949,259.067358,9,333.435,0.108158,0.0559005,6207.1,9,0.086526,-0.0216315,2.10577,0.0292852,7.14143,4.97090051325742,19.3363722671255,4.59412034980151,"1","1"
2946,22.9333,89.00227,193.548,9,135,0,0.0492231,7895.7,9,0,0,0.666172,0.0293093,11.5326,7.27348560625146,76.9794845203444,6.89670544279555,"1","1"
2947,22.88988,88.98605,259.067358,9,63.4349,-0.108158,0.0565271,9972.46,9,0,0.108158,1.05324,0.0293208,9.21954,4.97090051325742,19.3363722671255,4.59412034980151,"1","1"
2948,22.92274,89.01029,182.87,11,293.199,0.324473,0.0560091,7277.83,9,0.108158,-0.216315,1.79322,0.0292662,10.3923,5.1737342749856,24.9678197657918,4.39544965500602,"1","1"
2949,22.91808,89.03378,259.067358,10,315,-0.108158,0.0597024,5234.12,9,0,0.108158,0.666172,0.0291562,9.74679,5.07713699414214,22.1150332802866,4.4898593394771,"1","1"
2950,22.9012,89.06178,259.067358,8,-1,0,0.0562398,4395.28,9,0,0,0,0.0287781,6,7.9882193019403,109.189825950244,7.84602491757507,"1","1"
2951,22.9103,89.03359,202,12,0,0.324473,0.0607283,5719.39,9,0.216315,-0.108158,2.35405,0.0291562,10.247,5.26239626915905,27.887841775124,4.30918931072162,"1","1"
2952,22.89967,89.04798,207.264,8,-1,0,0.0607921,5430.75,9,0,0,0,0.0289725,4.12311,5.95133737467926,32.1675677957432,5.80914299031403,"1","2"
2953,22.895833,89.070833,195,7,-1,0,0.0573541,4335.49,9,0,0,0,0.0287781,5.65685,11.7721206391297,965.965693511986,11.8950210285094,"1","1"
2954,22.91466,89.04154,259.067358,10,245.556,0.216315,0.0605367,4782.06,9,0.124381,-0.0919339,2.84368,0.0289933,10.247,5.07713699414214,22.1150332802866,4.4898593394771,"1","2"
2955,22.910272,89.055876,183,8,-1,0,0.0580858,4061.1,9,0,0,0,0.028807,0,7.04994966334737,62.185764491856,6.90775527898214,"1","1"
2956,22.87488,89.05774,124.968,10,108.435,0.108158,0.0600073,6071.65,9,0.043263,-0.0648945,1.48934,0.0286826,10.9545,5.07713699414214,22.1150332802866,4.4898593394771,"1","2"
2957,22.85611,89.0575,180,6,135,0,0.0619507,6082.98,9,0,0,0.333097,0.0285795,8,8.53653677910527,124.860236455486,8.96439790569717,"1","1"
2958,22.88353,88.95438,223,4,-1,0,0.0144527,8052.14,9,0,0,0,0.0294415,5.74456,9.01889395118722,126.607636150356,10.2434380535337,"1","1"
2959,22.84835,88.97124,184.404,5,-1,0,0.0343234,12171.1,9,0,0,0,0.0291834,3.31662,7.47709671784439,58.4178974631355,8.26419667695235,"1","1"
2960,22.87082,88.97853,259.067358,5,45,0,0.0470031,10797.5,9,0,0,0.333097,0.0293667,8.66025,5.07920144504602,13.8583112459921,5.86630140415398,"1","1"
2961,22.86255,88.96474,259.067358,5,270,-0.108158,0.0255921,10524.8,9,0,0.108158,0.471065,0.0292696,8.66025,8.82870552097639,131.444878413036,9.61580548008435,"1","1"
2962,22.877288,88.984837,198,10,296.565,0,0.0543587,10778.4,9,0,0,1.05324,0.0292555,9.21954,5.07713699414214,22.1150332802866,4.4898593394771,"1","1"
2963,22.88462,88.96639,259.067358,8,8.97263,0.216315,0.030273,8847.97,9,0.118557,-0.0977578,4.52126,0.0293667,12,4.85272508601115,16.6396992358155,4.71053070164592,"1","1"
2964,22.47801,89.01669,335.263639,5,348.69,-0.108158,0.0168652,13855.5,10,0,0.108158,1.20084,0.0300123,4.89898,5.48466655315418,17.6752297004363,6.27176651226214,"1","1"
2965,22.48387,89.02489,335.263639,5,-1,0,0.0202737,12850.8,10,0,0,0,0.029972,3.31662,8.09962633119038,84.8716465211066,8.88672629029834,"1","1"
2966,22.51256,89.12139,335.263639,10,315,0.324473,0.0855661,4317.71,10,0.108158,-0.216315,1.66504,0.0296663,9.21954,5.07713699414214,22.1150332802866,4.4898593394771,"1","1"
2967,22.44581,89.12738,335.263639,5,-1,0,0.0928152,7204.62,10,0,0,0,0.0298641,4.89898,5.07920144504602,13.8583112459921,5.86630140415398,"1","1"
2968,22.44445,89.13377,335.263639,2,-1,0,0.0942394,6634.89,10,0,0,0,0.0298603,4.58258,5.89444834383099,12.1784244029877,8.4583526913933,"1","1"
